Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,480170572,6160.344932277744,10501842,134.73330711379265,858983,6124396,78.57289484592172,44269,0.5679488200851338,2278,
United States of America,Americas,79207517,23929.572,200682,60.629,0,969628,292.937,5233,1.581,0
India,South-East Asia,43020723,3117.434,11333,0.821,1270,521035,37.756,4525,0.328,31
Brazil,Americas,29802257,14020.671,184991,87.03,0,658566,309.827,1464,0.689,0
France,Europe,24291909,37349.552,874065,1343.902,110174,138497,212.943,720,1.107,41
The United Kingdom,Europe,20691127,30479.224,408951,602.408,0,164453,242.249,430,0.633,0
Germany,Europe,20323779,24437.397,1551448,1865.468,67501,128457,154.457,1528,1.837,20
Russian Federation,Europe,17783843,12186.185,172442,118.164,21101,367686,251.953,2785,1.908,335
Turkey,Europe,14800677,17549.017,106760,126.584,11194,97800,115.96,533,0.632,64
Italy,Europe,14364723,24085.118,502980,843.339,60612,158782,266.227,997,1.672,82
Republic of Korea,Western Pacific,12003054,23411.829,2420494,4721.148,187213,15186,29.62,2429,4.738,287
Spain,Europe,11451676,24194.049,60317,127.432,0,102392,216.324,207,0.437,0
Argentina,Americas,9026075,19971.06,30857,68.274,818,127909,283.011,415,0.918,5
Viet Nam,Western Pacific,9011473,9257.864,1053425,1082.228,91916,42306,43.463,426,0.438,48
Netherlands,Europe,7753878,44543.1,242559,1393.41,25013,21898,125.796,105,0.603,6
Iran (Islamic Republic of),Eastern Mediterranean,7151088,8513.915,10055,11.971,2299,140021,166.706,411,0.489,50
Japan,Western Pacific,6377719,5042.613,273629,216.348,43565,27767,21.954,722,0.571,68
Colombia,Americas,6083291,11955.474,2702,5.31,348,139558,274.273,124,0.244,14
Indonesia,South-East Asia,6001751,2194.235,34569,12.638,2798,154774,56.585,882,0.322,104
Poland,Europe,5945594,15663.555,50290,132.488,2367,114829,302.515,608,1.602,1
Mexico,Americas,5649977,4382.112,8411,6.524,2936,322735,250.313,358,0.278,101
Ukraine,Europe,4959082,11339.254,22317,51.029,1236,107861,246.631,264,0.604,11
Malaysia,Western Pacific,4138867,12787.7,145743,450.297,16863,34788,107.483,388,1.199,37
Australia,Western Pacific,4091417,16044.846,374223,1467.548,46234,5891,23.102,161,0.631,9
Israel,Europe,3867276,44679.772,91526,1057.427,15596,10485,121.136,27,0.312,0
Czechia,Europe,3790322,35443.647,49810,465.778,2246,39563,369.957,150,1.403,7
Belgium,Europe,3782085,32823.647,50173,435.437,0,30686,266.315,92,0.798,0
Austria,Europe,3771238,42368.396,264463,2971.139,26222,15413,173.159,193,2.168,9
South Africa,Africa,3713252,6260.89,9034,15.232,989,99966,168.552,85,0.143,1
Philippines,Western Pacific,3676991,3355.498,2712,2.475,330,59015,53.855,752,0.686,131
Thailand,South-East Asia,3553720,5091.291,176310,252.593,24635,24880,35.645,546,0.782,81
Peru,Americas,3544862,10751.176,4069,12.341,524,212102,643.282,288,0.873,52
Chile,Americas,3450094,18048.011,57116,298.783,7076,56381,294.938,11863,62.057,83
Switzerland,Europe,3437733,39721.372,119157,1376.803,4737,12962,149.77,50,0.578,1
Canada,Americas,3429601,9086.924,28798,76.302,0,37366,99.003,141,0.374,0
Portugal,Europe,3413013,33149.215,0,0,0,21342,207.286,0,0,0
Denmark,Europe,3042563,52252.908,37656,646.703,3359,5585,95.917,183,3.143,2
Greece,Europe,2930321,27338.744,141743,1322.406,13429,27268,254.4,331,3.088,52
Romania,Europe,2840788,14697.148,24749,128.042,1939,64905,335.794,220,1.138,10
Sweden,Europe,2481736,24030.158,4141,40.096,0,18189,176.12,16,0.155,0
Iraq,Eastern Mediterranean,2317977,5762.887,1933,4.806,230,25150,62.527,21,0.052,1
Serbia,Europe,1969044,28426.849,13764,198.709,1273,15758,227.496,71,1.025,12
Bangladesh,South-East Asia,1951363,1184.875,638,0.387,81,29119,17.681,2,0.001,1
Hungary,Europe,1844581,18880.967,14653,149.987,5223,45342,464.117,247,2.528,84
Jordan,Eastern Mediterranean,1692485,16587.893,3171,31.079,3171,14031,137.517,28,0.274,28
Slovakia,Europe,1690203,30968.163,52694,965.468,2778,19292,353.471,159,2.913,22
Georgia,Europe,1646545,41275.326,4303,107.867,229,16720,419.134,49,1.228,12
Pakistan,Eastern Mediterranean,1523900,689.884,2012,0.911,310,30345,13.737,16,0.007,5
Ireland,Europe,1422945,28662.749,36848,742.239,0,6710,135.161,54,1.088,0
Norway,Europe,1397636,26038.475,16230,302.371,205,2339,43.576,0,0,0
Kazakhstan,Europe,1393671,7422.34,215,1.145,28,19010,101.242,6,0.032,0
Morocco,Eastern Mediterranean,1162974,3150.789,477,1.292,51,16057,43.502,5,0.014,0
Bulgaria,Europe,1133464,16305.358,9278,133.468,362,36437,524.162,155,2.23,8
Croatia,Europe,1094059,26959.451,10047,247.575,961,15520,382.439,85,2.095,11
Lebanon,Eastern Mediterranean,1090782,15981.112,2586,37.888,284,10282,150.642,34,0.498,4
